Name,Workers,Threads,Users,Payload Size,Min_Response_Time,Max_Response_Time,Mean_Response_Time,Median_Response_Time,Std_Dev_Response_Time,Total_Requests,Requests_per_Second
/api/decrypt,25,1,10,65536,55.213,357.202,227.62721428571427,232.50099999999998,46.822723439769646,728,1.2281305900496164
/api/decrypt,25,1,10,262144,78.79899999999999,348.071,231.5034025423729,233.59199999999998,39.564547383567856,708,1.2013715680128731
/api/decrypt,25,1,50,65536,50.46,407.638,246.13099730240086,249.89,49.37458814628456,3707,6.2366789034012085
/api/decrypt,25,1,50,262144,54.827,428.955,251.3627767714438,254.90250000000003,49.765421729210885,3754,6.322759731952434
/api/decrypt,25,1,100,65536,43.686,685.3770000000001,289.27007360235956,284.045,74.823395196457,7459,12.503350987913214
/api/decrypt,25,1,100,262144,52.826,1316.157,317.9179400738815,308.511,99.787117594608,7309,12.254325428665027
/api/decrypt,25,1,250,65536,53.323,4989.648,2325.487681497418,2369.1805,688.8494913087446,11620,19.550101985004137
/api/decrypt,25,1,250,262144,0.0,204998.154,3907.9096205920764,2887.5325000000003,14389.555975461675,9188,18.06214463780184
/api/decrypt,25,1,500,65536,84.648,12206.12,7945.83149448948,8159.211000000001,1778.102546076058,10979,18.68684974269934
/api/decrypt,25,1,500,262144,87.245,18681.087000000003,9083.47214754996,9434.618,2632.556821506812,7306,16.84298918540467
/api/encrypt,25,1,10,65536,32.166,118.349,48.716108949416345,46.539,10.82285259266983,771,1.2970244182829054
/api/encrypt,25,1,10,262144,36.666,105.37,54.43005655526993,52.718,10.661467062497787,778,1.3109137030799287
/api/encrypt,25,1,50,65536,31.792,130.137,50.8047321711569,48.477000000000004,11.709690176796773,3786,6.337555798066924
/api/encrypt,25,1,50,262144,37.555,140.181,57.6387201933405,55.337500000000006,12.300333435363571,3724,6.235070449960021
/api/encrypt,25,1,100,65536,33.939,343.29,63.04012205567452,57.9795,21.164412091574736,7472,12.483392992126026
/api/encrypt,25,1,100,262144,38.421,1248.823,75.40874511108154,67.853,32.636026814960935,7517,12.568913707543114
/api/encrypt,25,1,250,65536,36.288,3540.684,1548.7272211483798,1528.316,563.5572727073666,12313,20.63239177592614
/api/encrypt,25,1,250,262144,43.653,202282.616,2859.4734497400345,2027.2995,12385.343509393668,9232,18.035770674937556
/api/encrypt,25,1,500,65536,38.84,10537.122,7080.822825253864,7302.093,1917.4247302438712,11325,19.14713288340659
/api/encrypt,25,1,500,262144,50.595,17508.780000000002,8134.6778060170045,8605.553,2786.4167890153126,7645,17.49429664968101
