Name,Workers,Threads,Policies,Min_Response_Time,Max_Response_Time,Mean_Response_Time,Median_Response_Time,Std_Dev_Response_Time,Total_Requests,Requests_per_Second
/api/decrypt,25,1,1,49.017,1029.799,320.4925731110229,313.861,92.42563262462035,7557,12.701810490770633
/api/decrypt,25,1,2,77.033,1684.684,403.9937424869038,383.24699999999996,134.05743336773332,7254,12.169496014630152
/api/decrypt,25,1,3,102.946,1742.501,507.8101276714625,478.451,169.11068328685238,7159,12.0023428242177
/api/decrypt,25,1,4,140.974,2760.5170000000003,653.5800418087473,603.174,261.60262963650564,6745,11.34143908539463
/api/decrypt,25,1,5,193.317,2778.973,827.5492032802397,749.2760000000001,353.17573051962347,6341,10.692537957610131
/api/decrypt,25,1,6,212.713,3294.781,1140.0649958602417,1045.346,474.882082697188,6039,10.327281917161864
/api/decrypt,25,1,7,261.642,3716.612,1507.6936011035957,1442.5035,565.8972231957612,5618,9.617253237654532
/api/decrypt,25,1,8,289.374,4506.411,1910.2613874560375,1877.6644999999999,676.9040555227589,5118,8.759848861359231
/api/decrypt,25,1,9,307.486,4513.452,2255.5436020601223,2246.669,699.2956846634908,4757,8.226143790932063
/api/decrypt,25,1,10,328.121,4721.203,2537.629214763604,2543.611,722.1984534424106,4484,7.700030491387148
/api/encrypt,25,1,1,34.439,333.816,72.71701847511375,66.204,27.271335465723887,7253,12.137724210048942
/api/encrypt,25,1,2,47.791,609.8820000000001,107.27334194612425,96.02,44.504296876679106,7276,12.150856074122618
/api/encrypt,25,1,3,60.816,819.903,154.71562128461647,138.095,68.2578805979332,6897,11.536078673039246
/api/encrypt,25,1,4,80.76899999999999,1037.16,218.43363466352525,192.832,105.87448808146668,6791,11.345743490373644
/api/encrypt,25,1,5,89.828,1268.094,296.40671376701965,253.385,151.7686069854606,6610,11.07913810339043
/api/encrypt,25,1,6,111.818,1604.552,436.1968971381848,377.213,217.79740828015855,6115,10.399717196100806
/api/encrypt,25,1,7,105.17,2083.195,617.3425810469314,557.7275,293.5188508694637,5540,9.464269267311286
/api/encrypt,25,1,8,135.69500000000002,2761.188,815.4864356791525,762.8515,375.09062516750606,5286,9.011016451281325
/api/encrypt,25,1,9,148.38899999999998,2469.018,1032.2305501338274,1007.965,401.8607992525982,4857,8.333585310846761
/api/encrypt,25,1,10,155.306,2687.068,1239.1941967248908,1241.6264999999999,428.34178856008333,4580,7.828277484443231
